文字,ローマ字
あ,a
い,i
う,u
え,e
お,o
ぁ,xa
ぃ,xi
ぅ,xu
ぇ,xe
ぉ,xo
か,ka
き,ki
く,ku
け,ke
こ,ko
さ,sa
し,si,shi
す,su
せ,se
そ,so
た,ta
ち,ti,chi
つ,tu,tsu
て,te
と,to
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ふ,hu,fu
へ,he
ほ,ho
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,nn
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ざ,za
じ,zi,ji
ず,zu
ぜ,ze
ぞ,zo
だ,da
ぢ,di
づ,du
で,de
ど,do
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
ちゃ,tya,tilya
ちぃ,tyi,tili
ちゅ,tyu,tilyu
ちぇ,tye,tile
ちょ,tyo,tilyo
ひゃ,hya,hilya
ひぃ,hyi,hili
ひゅ,hyu,hilty
ひぇ,hye,hile
ひょ,hyo,hilyo
ふぁ,fa,hula
ふぃ,fi,huli,hyi
ふぅ,fu hulyu
ふぇ,fe,hule,hye
ふぉ,fo,hulo
にゃ,nya,nilya
にぃ,nyi,nili
にゅ,nyu,nilyu
にぇ,nye,nile
にょ,nyo,nilyo
みゃ,mya,milya
みぃ,myi,mili
みゅ,myu,milyu
みぇ,mye,mile
みょ,myo,milyo
りゃ,rya,rilya
りぃ,ryi,rili
りゅ,ryu,rilyu
りぇ,rye,rile
りょ,ryo,rilyo
きゃ,kya,kilya
きぃ,kyi,kili
きゅ,kyu,kilyu
きぇ,kye,kile
きょ,kyo,kilyo
しゃ,sya,sha,silya
しぃ,syi,shi,sili
しゅ,syu,shu,silyu
しぇ,sye,she,sile
しょ,syo,sho,silyo
ぎゃ,gya,gilya
ぎぃ,gyi,gili
ぎゅ,gyu,gilyu
ぎぇ,gye,gile
ぎょ,gyo,gilyo
じゃ,zya,zilya,ja,jya,jilya
じぃ,zyi,zili,jili
じゅ,zyu,zilyu,ju,jyu,jilyu
じぇ,zye,zile,jile
じょ,zyo,zilyo,jo,jyo,jilyo
ぢゃ,dya,dilya
ぢぃ,dyi,dili
ぢゅ,dyu,dilyu
ぢぇ,dye,dile
ぢょ,dyo,dilyo
びゃ,bya,bilya
びぃ,byi,bili
びゅ,byu,bilyu
びぇ,bye,bile
びょ,byo,bilyo
ぴゃ,pya,pilya
ぴぃ,pyi,pili
ぴゅ,pyu,pilyu
ぴぇ,pye,pile
ぴょ,pyo,pilyo
てぃ,teli,texi
っ,ltu,xtu
っか,kka
っき,kki
っく,kku
っけ,kke
っこ,kko
っが,gga
っぎ,ggi
っぐ,ggu
っげ,gge
っご,ggo
っさ,ssa
っし,ssi
っす,ssu
っせ,sse
っそ,sso
っざ,zza
っじ,zzi
っず,zzu
っぜ,zze
っぞ,zzo
った,tta
っち,tti
っつ,ttu
って,tte
っと,tto
っだ,dda
っぢ,ddi
っづ,ddu
っで,dde
っど,ddo
っは,hha
っひ,hhi
っふ,hhu
っへ,hhe
っほ,hho
っば,bba
っび,bbi
っぶ,bbu
っべ,bbe
っぼ,bbo
っや,yya
っゆ,yyu
っよ,yyo
ヴぁ,va
ヴぃ,vi
ヴぇ,ve
ヴぉ,vo
っしゃ,ssya
っしゅ,ssyu
っしょ,ssyo
ー,-
？,?
！,!
